Paper Publish Year,DOI,Category (Carbohydrate Mimetic),Mimic of which Carbohydrate,Name of the Carbohydrate Mimetic,Functions,Activity
2008,https://doi.org/10.1021/cr078215f,synthetic,heparan sulfate,Alzhemed (tramiprosate; 3-amino-1-propanesulfonic acid),"small synthetic GAG-based mimetic currently in phase III clinical trials, promising from phase II clinical trials in patients with mild-to-moderate Alzheimer’s disease, suggesting the potential of such approaches for the treatment of this disorder.","Alzheimer’s Disease (AD):Tramiprosate binds to amyloid-beta (Aβ42), inhibiting oligomerization and plaque formation. It stabilizes Aβ monomers, providing neuroprotection and reducing cognitive decline, particularly in ApoE4 homozygous patients"
2008,https://doi.org/10.1021/ol8006259,Aldohexose,galactose,mannose,galactose-mimicking substrate,"MPI-CDG (Congenital Disorder of Glycosylation):
Corrects glycosylation defects, stabilizes immune function, and reduces infections"
2008,https://doi.org/10.1016/j.carres.2008.04.015,Cluster Glycoside Mimetic,Mannose,Unprotected clustermannoside,Scaffold for trivalent glycocluster,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2008,https://doi.org/10.1016/j.carres.2008.04.015,Scaffold for Mimetics,NA ,Tris(hydroxymethyl)aminomethane,Scaffold for trivalent glycocluster,"Metabolic Acidosis:Buffers acidemia in critical care settings (e.g., sepsis, cardiac arrest, hypercapnic respiratory failure) without causing hypernatremia"
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,GAG Mimetics,heparan sulfate (HS),synthetic pentasaccharide Arixtra (Fondaparinux or SR90107 ⁄ Org31540),Anticoagulant,"Sepsis-Induced Coagulopathy:Inhibits factor Xa, reducing coagulation activation and improving survival in E. coli sepsis models"
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,GAG Mimetics,heparan sulfate (HS),Idraparinux (SANORG 34006),"phase III clinical trials for the treatment of venous thromboembolism, anticogulant ",Venous Thromboembolism (VTE):idraparinux is a synthetic pentasaccharide anticoagulant that inhibits Factor Xa. It was investigated for treating deep vein thrombosis (DVT) and pulmonary embolism (PE). 
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,GAG Mimetics,heparan sulfate (HS),synthetic hexadecasaccharide SR123781,Anticoagulant,Potent antithrombotic agent in venous and arterial thrombosis models
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,GAG Mimetics,heparan sulfate (HS),PI-88,"progressed to clinical trials to treat inflammatory diseases, thrombosis, virus infections and cancer; Anticancer, Anti-inflammatory",Hepatocellular carcinoma (Phase III trials)
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,GAG Mimetics,NA ,Poly-acrylic Acid (PAA),Anticoagulant,"Dry Eye Syndrome:Superior to polyvinyl alcohol in reducing symptoms (gritty sensation, photophobia) and improving tear film stability"
2008,https://doi.org/10.1111/j.1747-0285.2008.00741.x,GAG Mimetics,sulfated glycosaminoglycans (GAGs),Epicatechin Sulfate (ECS),Anticoagulant,"Cardiovascular Diseases:Reverses endothelial cell aging, improves nitric oxide production, and enhances vascular relaxation"
2008,https://doi.org/10.1016/j.tetlet.2008.05.040,Cyclitol-Based Mimetics,a-L-rhamnopyranose,"3,5-di-O-benzyl-D-pinitol","Mimics α-L-rhamnopyranose unit in bioactive saccharides, interacts with dendritic cells, potential use in stable mimic of capsular polysaccharide in Streptococcus pneumoniae",Inhibits breast and prostate cancer growth via NF-κB/MMP-9 and FAK/c-Src pathways
2008,https://doi.org/10.1016/j.carres.2008.09.002,Glycolipid Mimetics,GM3 (ganglioside),"2-aminododecyl (5-acetamido-4,7,8,9-tetra-O-acetyl-3,5-dideoxy-D-glyceroa-D-galacto-2-nonulopyranosyl)onate-(2?3)-2,4,6-tri-O-acetyl-bD-galactopyranosyl-(1?4)-2,3,6-tri-O-acetyl-b-D-glucopyranoside","Mimics the lyso-GM3 structure, binds to epidermal growth factor receptor (EGFR)","Influenza:These glycosides mimic sialic acid and inhibit viral neuraminidases, blocking viral release and reducing infection severity"
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Iminosugar,Glucose,Deoxynojirimycin (DNJ),Inhibitor of α-glucosidase,"Type II Diabetes:DNJ inhibits α-glucosidase, reducing postprandial hyperglycemia"
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Iminosugar,Glucose,N-butyl-1-deoxynojirimycin (Zavesta),Inhibitor of ceramide-specific glucosyltransferase,"Gaucher’s Disease:Zavesca inhibits glucosylceramide synthase, alleviating lysosomal storage pathology in non-neuronopathic Gaucher’s disease"
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Iminosugar,Glucose,N-hydroxyethyl-DNJ (miglitol),Treatment for type II diabetes,"Type II Diabetes:Similar to DNJ, miglitol inhibits intestinal α-glucosidase, improving glycemic control"
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Iminosugar,α-D-mannose,Swainsonine,Glycosidase inhibitor,"Cancer Therapy:Swainsonine inhibits α-mannosidase II, disrupting N-glycan processing and suppressing tumor metastasis"
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Iminosugar,L-fucose,Fuconojirimycin,Inhibitor of fucosyltransferase,"Lysosomal Storage Disorders:L-fuco-nojirimycin is a potent inhibitor of α-L-fucosidase, potentially useful for treating fucosidosis and other lysosomal storage diseases"
2009,https://www.nature.com/articles/nrd2852.pdf,glycomimetic,sialic acid,Zanamivir (Relenza),"Zanamivir functions as an inhibitor of viral neuraminidases, which is used for the prevention of influenza virus infections",Influenza: Neuraminidase inhibitors preventing viral release
2009,https://www.nature.com/articles/nrd2852.pdf,glycomimetic,sialic acid,Oseltamivir phosphate (Tamiflu),"Oseltamivir phosphate (Tamiflu) functions as an inhibitor of viral neuraminidases, which is used for the treatment of influenza virus infections",Influenza: Neuraminidase inhibitors preventing viral release
2009,https://www.nature.com/articles/nrd2852.pdf,glycomimetic,α-glucosidase inhibitor,Voglibose (Glustat),Voglibose (Glustat) functions as an α-glucosidase inhibitor used for the treatment of diabetes,type 2 diabetes mellitus. It is an alpha-glucosidase inhibitor that helps control postprandial (after-meal) blood glucose levels by delaying the digestion and absorption of complex carbohydrates in the small intestine
2009,https://doi.org/10.1002/ejoc.200900945,glycosides,pyranose,di-O-isopropylidene-glucose,"Di-O-isopropylidene-glucose is used as a starting material for the synthesis of glycoaminoxy acids, which are a novel type of sugar building blocks and oligosaccharide mimetics. It is chosen for its ready availability and low cost, and it allows for the introduction of functional groups necessary for further chemical transformations","Protected sugars used to develop glycan-based drugs (e.g., antiviral agents)"
2009,https://doi.org/10.1002/ejoc.200900945,imino sugar derivative,D-Ribose,D-ribofuranoid glycoaminoxy acid,"D-ribofuranoid glycoaminoxy acid functions as a novel sugar building block and oligosaccharide mimetic. It is used in the synthesis of homo-oligomers, which are oligosaccharide mimetics","Antiviral Drug Design:scaffolds for neuraminidase inhibitors (e.g., zanamivir) and nucleoside analogs. "
2009,https://doi.org/10.1002/ejoc.200900945,imino sugar derivative,pyranose,Pyranoid glycoaminoxy acids,Pyranoid glycoaminoxy acids function as a new class of sugar building blocks. They are used for the synthesis of oxyamide-linked disaccharides and glycosyl amino acid mimetics due to the presence of both aminoxy and carboxylic acid functional groups on the sugar ring,"Metabolic Disorders:Act as synthetic analogs of glycosphingolipids to address lysosomal storage diseases (e.g., Gaucher, Fabry) by stabilizing defective enzymes"
2009,https://doi.org/10.1002/ejoc.200900945,glycoside, oligosaccharide,di-O-isopropylidene-D-glucose,"Di-O-isopropylidene-D-glucose serves as a versatile synthetic intermediate in carbohydrate chemistry, primarily functioning as a protected glucose derivative with strategic hydroxyl group masking.","Antibiotic Production:Key intermediate in synthesizing cephalosporins and penicillins, used to treat bacterial infections"
2009,https://doi.org/10.1002/ejoc.200900945,glycoside,oligosaccharide,D-ribofuranoid glycoaminoxy acid,D-Ribofuranoid glycoaminoxy acid is a synthetic derivative of β-D-ribofuranose (the five-membered ring form of ribose) modified with an aminoxy group (–ONH₂) and a carboxylic acid (–COOH),Diabetic Nephropathy: Heparin analogs reduce advanced glycation end products (AGEs) and glomerular permeability
2009,https://doi.org/10.1002/chem.200900996,imino sugar derivative,amino sugar,"3,6-dihydro-2H-1,2-oxazines","Carbohydrate mimetics: 3,6-Dihydro-2H-1,2-oxazines mimic carbohydrates, interacting with carbohydrate-binding proteins.","Inhibit platelet aggregation, useful in cardiovascular diseases (e.g., thrombosis)"
2009,https://doi.org/10.1039/B914356D,Miscellaneous,mannose,"1,2-oxazines syn-8 ( Bicyclic ketones 15)","Bicyclic ketone 15 serves as an ideal starting point for the preparation of suitable substrates for the copper-catalyzed 1,3-dipolar cycloaddition of azides with alkynes, which is a key step in the synthesis of oligosaccharide mimetics","Cancer: Serve as intermediates for polyoxygenated oxepanes, which target cancer cell proliferation"
2009,https://doi.org/10.1039/B914356D,Miscellaneous,glucosamine,"1,2-oxazines anti syn-8 ( Bicyclic ketones 17)","The 1,2-oxazines syn-8, when exposed to Lewis acids, can be transformed into either bicyclic ketones 15 or tricyclic compounds 16, depending on the nature of the 4-alkoxy group [1]. Additionally, the 1,2-oxazines syn-8 and anti-8 can undergo Lewis acid-promoted rearrangements leading to bi- and tricyclic products","Cancer: Serve as intermediates for polyoxygenated oxepanes, which target cancer cell proliferation"
2010,https://doi.org/10.4155/fmc.10.8,glycosidases,O-glycoside,C-glycosides,"C-glycosides serve as stable mimics of glycosides by replacing the anomeric oxygen with a carbon atom, which suppresses the reactivity of the anomeric center. This stability makes them useful in medicinal chemistry, as they are unable to undergo the metabolism of the parent sugar, allowing them to participate in biological processes of pharmacological relevance without being metabolized",Diabetes: Voglibose inhibits α-glucosidase
2010,https://doi.org/10.1517/17460441.2010.497811,iminosugar ,glucose,miglitol (N-(2-hydroxyethyl)-nojirimycin),"able to prevent digestion of carbohydrates by a-glucosidase inhibition , anti-diabetic and antiobesity compound",Type 2 Diabetes: Reduces postprandial glucose spikes as an α-glucosidase inhibitor
2010,https://doi.org/10.1517/17460441.2010.497811,iminosugar ,glucose,N-butyl-deoxynojirimycin,"acting as an inhibitor of glucosylceramide synthase and a-glucosidase, administered for the treatment of type 1 Gaucher disease",Gaucher/Niemann-Pick Diseases: Reduces glycolipid accumulation in lysosomal storage disorders
2010,https://doi.org/10.1517/17460441.2010.497811,iminosugar,mannose,swainsonine,anticancer drug with the potential of treating glioma [120] and gastric carcinoma,Lung cancer: Inhibits A549 cell growth in vitro and reduces xenograft tumor volume in vivo
2010,https://doi.org/10.1517/17460441.2010.497811,iminosugar,Oligosaccharides,acarbose," It is an inhibitor of α-glucosidases and α-amylases, enzymes involved in carbohydrate metabolism.",Type 2 Diabetes: Lowers HbA1c levels by delaying carbohydrate digestion
2010,https://doi.org/10.1517/17460441.2010.497811,iminosugar,- α-D-Glucopyranose,Validamycin A,a non-systemic antibiotic with fungicide action produced from the fermentation of Streptomyces hygroscopicus subspecies limoneus,Antifungal agent against rice sheath blight (Rhizoctonia solani)
2010,https://doi.org/10.1517/17460441.2010.497811,Mixed-Type Oligosaccharides,glycosaminoglycan,idraparinux," Idraparinux is a synthetic analog of the antithrombin-binding region of heparin, which is a critical site for heparin's anticoagulant activity.",Venous Thromboembolism (VTE):idraparinux is a synthetic pentasaccharide anticoagulant that inhibits Factor Xa. It was investigated for treating deep vein thrombosis (DVT) and pulmonary embolism (PE). 
2010,https://doi.org/10.1517/17460441.2010.497811,Mixed-Type Oligosaccharides,glycosaminoglycan,arixtria,"Arixtra is a synthetic analog of the antithrombin-binding region of heparin, which is a critical site for heparin's anticoagulant activity.","Thromboembolic Disorders:Approved for preventing DVT post-surgery (hip/knee replacement) and treating acute DVT/PE. It blocks Factor Xa, reducing clot formation. Also used for unstable angina and myocardial infarction"
2010,https://doi.org/10.1016/j.bmc.2010.08.027,miscellanous,"glucose,mannose",sialic acid,"Carbohydrate mimetics are designed to mimic the structure and function of carbohydrates, often to improve pharmacokinetic properties and binding affinities. In the context of the document, a non-carbohydrate mimic was synthesized to act as an antagonist of the myelin-associated glycoprotein (MAG), which is involved in blocking the regeneration of neurite injuries. The goal was to address pharmacokinetic issues such as metabolic stability while maintaining or improving binding affinity to the target protein",Influenza (via neuraminidase inhibitors like oseltamivir and zanamivir)
2010,https://doi.org/10.1021/jo101219w,miscellanous,pyranose,"2,3-dihydro-4-pyridinones","2,3-dihydro-4-pyridinones an important class of compounds in medicinal chemistry and drug discovery","Inhibit kinases (e.g., EGFR, STAT3) in lung, gastric, and breast cancers."
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Thioglycosides,sialic acid,Thiosialosides,Thiosialosides are used as probes for sialic acid recognizing proteins and have been evaluated for their ability to inhibit influenza virus neuraminidase,"Influenza:Bifunctional thiosialosides inhibit viral neuraminidase (NA), preventing viral release. They show nanomolar efficacy against H1N1 and H3N2 strains"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Thioglycosides,sialic acid,Thiogangliosides,Thiogangliosides have been evaluated for their ability to inhibit influenza virus neuraminidase,"Influenza:Bifunctional thiosialosides inhibit viral neuraminidase (NA), preventing viral release. They show nanomolar efficacy against H1N1 and H3N2 strains"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Thioglycosides,sialic acid,Polymeric thiosialosides,Polymeric thiosialosides have been evaluated for their ability to inhibit influenza virus neuraminidase,"Influenza:Bifunctional thiosialosides inhibit viral neuraminidase (NA), preventing viral release. They show nanomolar efficacy against H1N1 and H3N2 strains"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Thioglycosides,galactofuranosides,Galactofuranosyl alkyl thioglycosides,"Galactofuranosyl alkyl thioglycosides function as inhibitors of mycobacterial growth, specifically targeting Mycobacterium smegmatis. They are of interest as potential tuberculosis therapeutics due to their ability to mimic the structural characteristics of galactofuranosides, which are essential components of the mycobacterial cell wall ","Bacterial Infections:Target pathogens with galactofuranose-containing glycans (e.g., Mycobacterium tuberculosis) by inhibiting cell wall synthesis"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Iminosugars,α-glycosides,1-deoxynojirimycin ,"1-Deoxynojirimycin functions as a glycosidase inhibitor. It derives its ability to inhibit glycohydrolases from the nitrogen in the ring, which can support a positive charge, enabling it to mimic the transition state characteristic of the hydrolysis of α-glycosides","Type 2 Diabetes:DNJ and miglitol inhibit intestinal α-glucosidase, reducing postprandial hyperglycemia"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Iminosugars,mannose,N-butyldeoxygalactonojirimycin,N-butyldeoxygalactonojirimycin is mentioned as having potential for the treatment of β-galactosidosis,"Type 2 Diabetes:DNJ and miglitol inhibit intestinal α-glucosidase, reducing postprandial hyperglycemia"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Iminosugars,mannose,1-deoxymannojirimycin,1-Deoxymannojirimycin functions as a glycosidase inhibitor,"Type 2 Diabetes:DNJ and miglitol inhibit intestinal α-glucosidase, reducing postprandial hyperglycemia"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Iminosugars,galactose, 1-deoxygalactostatin ,1-deoxygalactostatin as one of the glycosidase inhibitors derived from a single molecule,"Diabetic Complications: Inhibits advanced glycation end-product (AGE) formation by targeting pathways involving 3-deoxyglucosone (3-DG), a precursor to AGEs linked to diabetic neuropathy, retinopathy, and nephropathy"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Iminosugars,mannose,Swainsonine,Swainsonine functions as a glycosidase inhibitor,"Cancer:Inhibits α-mannosidase II, disrupting N-glycan processing and suppressing tumor metastasis in preclinical models"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,carbasugars,glucose,Cyclitol epoxide ,Cyclitol epoxide functions as a carbasugar analogue of D-glucose and is one of the most potent and specific competitive inhibitors of almond and Molt-4 lysate β-glucosidases ,"Antiviral/Metabolic Disorders:Acts as a glycosidase inhibitor, potentially targeting viral entry or carbohydrate metabolism pathways (similar to DNJ)"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,miscellanous,sialosyl cation,Relenza,Relenza functions as an anti-influenza drug. It was designed by detailed analysis of the catalytic site within influenza virus neuraminidase and is known for its inhibitory activity against this enzyme,Influenza A/B:Neuraminidase inhibitor used for treatment (within 48 hours of symptom onset) and prophylaxis. Reduces symptom duration and transmission risk
2010,https://doi.org/10.4155/fmc.10.8,inhibitor,glucosidase,zanamivir,Acts as an anti-influenza drug,Influenza A/B: Neuraminidase inhibitors that reduce viral replication. Effective if administered within 48 hours of symptom onse
2010,https://doi.org/10.4155/fmc.10.8,inhibitor,glucosidase,oseltamivir,Acts as an anti-influenza drug,Influenza A/B: Neuraminidase inhibitors that reduce viral replication. Effective if administered within 48 hours of symptom onse
2010,https://doi.org/10.4155/fmc.10.8,inhibitor,glucosidase,miglitol,the antidiabetic and antiobesity compound,"Type 2 Diabetes: Slows carbohydrate digestion, improving glycemic control"
2010,https://doi.org/10.4155/fmc.10.8,inhibitor,iminosugar,nojirimycin,prevents digestion of carbohydrate and used as a treatment for type 2 diabetes,"Inflammation: Suppresses NF-κB and MAPK pathways, reducing NO and cytokine production"
2010,https://doi.org/10.4155/fmc.10.8,inhibitor,iminosugar,N-butyl-deoxynojirimycin,used for the treatment of type 1 Gaucher disease,"Type 2 Diabetes:DNJ and miglitol inhibit intestinal α-glucosidase, reducing postprandial hyperglycemia"
2010,https://doi.org/10.4155/fmc.10.8,inhibitor,glucosidase,Swainsonine,used as an anticancer drug with potential for treating glicoma and stomach cancer,"Cancer:Inhibits α-mannosidase II, disrupting N-glycan processing and suppressing tumor metastasis in preclinical models"
2011,https://doi.org/10.1039/C1OB05583F,Mixed-Type Oligosaccharides,pyranose,monocyclic aminopyrans,"Monocyclic aminopyrans function as carbohydrate mimetics used to enhance the binding affinities of gold colloids by converting their hydroxyl groups into sulfate functionalities. They are used to study the binding properties of sulfated epitopes with different configurations and substitution patterns, particularly in relation to their interaction with selectins",Antimicrobial/Anticancer: Structural analogs of imidazoles targeting kinases or microbial enzymes
2011,https://doi.org/10.1039/C1OB05583F,Mixed-Type Oligosaccharides,N-acetylglucosamine (NAG),aminofurans,"Aminofurans function as carbohydrate mimetics used to study the binding properties of sulfated epitopes. They are involved in enhancing the binding affinities of gold colloids by converting their hydroxyl groups into sulfate functionalities. Specifically, sulfated aminofurans have been shown to exhibit binding to P-selectin and L-selectin, with some selectivity observed based on their structural features",Alzheimer's disease
2011,https://doi.org/10.1039/C1OB05583F,Mixed-Type Oligosaccharides,d-fructose,acyclic aminopolyols,"Acyclic aminopolyols function as carbohydrate mimetics used to enhance selectin binding properties. They are attached to gold colloids and sulfated to improve ligand-receptor interactions. These sulfated colloids exhibit strong selectin binding properties and no signs of cytotoxicity, serving as a valuable example of improved ligand-receptor interactions when presented multivalently","Diabetes, Viral Infections, Cancer: Synthesized via biocatalytic amination of sugars, these compounds act as carbohydrate mimetics for diabetes management, antiviral therapies, and antitumor agents"
2011,https://doi.org/10.1073/pnas.1105057108,peptide,Lewis A carbohydrate,"I-peptide, which is a 7-mer peptide","The function of I-peptide, which is a 7-mer peptide, is to inhibit sialyl Lewis X-dependent colonization by binding to a receptor distinct from E- or P-selectins. It was found to bind to a 15 kDa fragment of annexin 1 (Anxa1), which is a highly specific marker of the tumor vasculature surface","Cancer: Targets annexin 1 (Anxa1) on tumor vasculature for drug delivery. Conjugated to SN-38 (chemotherapy drug), it suppresses colon cancer (HCT116) growth in mice"
2011,https://doi.org/10.2174/138955711793564060,Iminosugars,glucose,1-deoxynojirimycin (DNJ),1-deoxynojirimycin (DNJ) functions as a glycosidase inhibitor. It is a stable and powerful inhibitor of both α- and β-glucosidases,"Diabetes: Inhibits α-glucosidase, reducing postprandial hyperglycemia"
2011,https://doi.org/10.2174/138955711793564060,Iminosugars,glucose,nojirimycin,Nojirimycin functions as a glycosidase inhibitor. It has shown inhibitory activity towards both α- and β-glucosidases,"Bacterial Infections: Inhibits Xanthomonas oryzae, Shigella flexneri, and Mycobacterium smegmatis"
2011,https://doi.org/10.2174/138955711793564060,Iminosugars,glucose,α-Homonojirimycin,α-Homonojirimycin functions as a potent glycosidase inhibitor ,"Antiviral Research: Inhibits viral replication (e.g., HIV) and modulates glycosylation pathways"
2011,https://sci-hub.se/10.1055/s-0030-1260139,imino sugar derivative,oligosaccharide,"2,6-functionalized pyranoid glycoaminoxy acid","The 2,6-functionalized pyranoid glycoaminoxy acid serves as a building block for the construction of novel 2,6-linked oligosaccharide mimetics. It is used for chemical ligations with various amines, carboxylic acids, or aldehydes through amide, oxime, or oxyamine bonds, respectively. This makes it a useful tool for the synthesis of oligosaccharide mimetics with potentially diverse practical application",Cancer: Used to synthesize oligosaccharide mimetics that inhibit tumor growth and metastasis
2011, https://doi.org/10.1134/S1068162011060100,Mixed-Type Oligosaccharides, heparinoids,Sulfated Phosphomannan PI88,"Sulfated phosphomannan PI88 functions as a heparanase inhibitor and an angiogenesis inhibitor. It blocks the action of heparanase, which is involved in cancer cell metastasis, and interacts with growth factors (FGF-1, FGF-2, VEGF) and their receptors (FGFR) to inhibit angiogenesis","Hepatocellular Carcinoma (HCC): Inhibits heparanase, reducing tumor growth and metastasis in clinical trials"
2011, https://doi.org/10.1134/S1068162011060100,Mixed-Type Oligosaccharides, heparinoids,dextran sulfate (DS),"Dextran sulfate functions as an inhibitor of viral adhesion, specifically inhibiting the primary adsorption of viruses like HIV on the cell membrane, thus preventing the initial stage of infection. However, its practical use as a drug is limited due to low bioaccessibility and challenges in standardization and structural characterization","Type 1 Diabetes (T1D): Preserves β-cell mass, reverses hyperglycemia in preclinical models"
2011, https://doi.org/10.1134/S1068162011060100,Mixed-Type Oligosaccharides, heparinoids,pentosan sulfate (HOE/BAY946),"Pentosan sulfate (HOE/BAY946) functions as an inhibitor of viral adhesion, similar to dextran sulfate. It can inhibit the primary adsorption of viruses like HIV on the cell membrane, thus preventing the initial stage of infection. However, like other sulfated polysaccharides, its practical use as a drug is limited due to low bioaccessibility and challenges in standardization and structural characterization.",Osteoarthritis: Reduces cartilage degradation in preclinical studies
2011, https://doi.org/10.1134/S1068162011060100,Mixed-Type Oligosaccharides, heparinoids,sulfated hexasaccharide,"Sulfated hexasaccharides play diverse biological roles due to their structural and sulfation patterns. Neurodevelopment: Promote cerebellar Purkinje cell growth and neurite outgrowth by interacting with neurotrophic factors like pleiotrophin.Growth Factor Modulation: Mimic heparan sulfate to regulate fibroblast growth factor 2 (FGF-2) activity, influencing cell proliferation and disease pathways.Immune Regulation: Inhibit selectins (L-, E-, and P-selectins) to modulate inflammation, lymphocyte homing, and tumor metastasis.","Cancer Metastasis: Dual inhibition of heparanase and selectins, blocking tumor cell spread"
2011, https://doi.org/10.1134/S1068162011060100,Miscellanous, heparinoids,Sulfated bisamide,"Sulfated bisamide of aldonic acid (186) is ascribed to this type of compound (Scheme 29). At first com pound (186) was supposed to be used as an antithrom botic drug [55, 56] and was synthesized in four stages from lactobionic acid (185), which was primarily transformed into bisamide with 1,3propanediamine using the cationexchange resin LewatitS100, and then was subjected to exhaustive sulfation with the complex Py ⋅ SO3 to form hexadecasulfate (186). This compound manifested relatively high anticoagulant activity, presumably inhibiting thrombin in a complex with heparin cofactor II (HCII).",Antimicrobial: Mimic glycopeptides to target bacterial cell walls
2011,https://doi.org/10.1016/j.tetlet.2011.05.063,iminosugar,glucose,2-deoxynojirimycin,"2-Deoxynojirimycin (2-DNJ) is a mimic of glucose, specifically targeting enzymes involved in carbohydrate metabolism. It is a polyhydroxylated piperidine that structurally resembles the pyranose form of glucose, enabling it to act as a potent inhibitor of glycosidases, particularly α-glucosidase and other carbohydrate-processing enzymes.","Type 2 Diabetes: Miglitol (a DNJ derivative) inhibits intestinal α-glucosidases, reducing postprandial hyperglycemia"
2011,https://doi.org/10.1016/j.tetlet.2011.05.063,iminosugar,D-glucose,Miglustat ,"Miglustat, also known as N-butyl-deoxynojirimycin (NB-DNJ), is used for the treatment of progressive neurological manifestations in adults and pediatric patients with Niemann–Pick type C disease. It is commercialized by Actelion and is noted for its enhanced lipophilicity due to the alkyl chain on the endocyclic nitrogen, which tends to exhibit better in vivo biological activities compared to the parent iminosugars",Gaucher Disease: Reduces glucosylceramide accumulation via substrate reduction therapy
2011,https://doi.org/10.1016/j.tetlet.2011.05.063,iminosugar,D-glucose,Miglitol ,"Miglitol, also known as N-hydroxyethyldeoxynojirimycin, is developed by Bayer and is used to treat type II diabetes. It functions through its strong inhibiting effect against alpha-glucosidase in the human body, which helps block the digestion of dietary carbohydrates into glucose","Type 2 Diabetes: Slows carbohydrate digestion, improving glycemic control"
2012,https://dx.doi.org/10.2174/138955712803832690,Glycomimetic,"1,2-mannobioside","Pseudo-1,2-mannobioside+F2:F155","Pseudo-1,2-mannobioside  acts as a mimic of  a reducing end mannose residue and features a spacer-arm terminated with azido or amino functionality, useful to generate multivalent DC-SIGN ligands.","Mimics mannose to interact with DC-SIGN receptors, aiding in pathogen adhesion studies."
2012,https://dx.doi.org/10.2174/138955712803832690,Glycomimetic,"linear Man (1,2)Man (1,6)Man trisaccharide","pseudo-trisaccharide, 2","This compound inhibits DC-SIGN binding to mannosylated BSA (Bovine serum albumin) with an IC50 of 130 M (by surface-plasmon resonance, SPR).","Potential anti-infective agent by blocking DC-SIGN receptor interactions, which could inhibit pathogen entry and infection processes"
2012,https://doi.org/10.1016/j.bmcl.2012.04.014,Glycomemitics,Heparan Sulphate,PI-88,"a highly sulfonated oligosaccharide that mimics heparan sulfate and has potent anti-angiogenic activity, currently in clinical trials","Inhibits heparanase activity and angiogenesis, showing potential as an anti-cancer and anti-metastatic agent."
2012,https://doi.org/10.1016/j.bmcl.2012.04.014,Glycomemitics,Heparan Sulphate,Small molecule fluoro-xylosides,"small molecules that mimic heparan sulfate and potently reduce tumor-associated angiogenesis by inhibiting HS biosynthesis in vitro, requiring cellular entry to be effective","Disrupts HS biosynthesis, leading to reduced tumor angiogenesis and potential anti-cancer applications."
2012,https://doi.org/10.1016/j.bmcl.2012.04.014,Glycomemitics,Heparan Sulphate,Polysulfonated small molecules,"these mimic heparin/heparan sulfate and act as inhibitors of angiogenesis, identified as promising in vitro tube formation assay inhibitors and can be easily synthesized","Prevents angiogenesis by inhibiting heparan sulfate interactions, making them potential therapeutic agents for cancer treatment."
2012,https://doi.org/10.2174/138955712803832672,Aminoglycoside antibiotic,Streptamine-based pseudo-oligosaccharide,Streptomycin,Binds to the 30S subunit of ribosomal RNA (rRNA) to inhibit protein synthesis.,Effective against Mycobacterium tuberculosis
2012,https://doi.org/10.2174/138955712803832672,Aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Neomycins,Binds to rRNA to prevent normal translation of proteins.,Broad-spectrum antibiotic activity
2012,https://doi.org/10.2174/138955712803832672,Aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Paramomycins,Binds to rRNA to inhibit protein synthesis.,Broad-spectrum antibiotic activity
2012,https://doi.org/10.2174/138955712803832672,Aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Kanamycins,Binds to rRNA to inhibit protein synthesis.,Broad-spectrum antibiotic activity
2012,https://doi.org/10.2174/138955712803832672,Aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Gentamicins,Binds to rRNA to inhibit protein synthesis.,Broad-spectrum antibiotic activity
2012,https://doi.org/10.2174/138955712803832672,Aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Tobramycins,Binds to rRNA to inhibit protein synthesis.,Broad-spectrum antibiotic activity
