 Paper Publish Year,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2011,https://doi.org/10.1038/onc.2011.104,Protein,Small molecule mimetic,BH3,ABT737,"induces autophagy by competitively disrupting the inhibitory interaction between the BH3 domain of Beclin 1 and the anti-apoptotic proteins Bcl-2 and Bcl-XL, thereby stimulating the Beclin 1-dependent allosteric activation of the pro-autophagic lipid kinase VPS34","caused the activating phosphorylation of AMP-dependent kinase (AMPK) and of the AMPK substrate acetyl CoA carboxylase, the activating phosphorylation of several subunits of the inhibitor of NF-jB (IjB) kinase (IKK) and the hyperphosphorylation of the IKK substrate IjB, inhibition of the activity of mammalian target of rapamycin (mTOR) and consequent dephosphorylation of the mTOR substrate S6 kinase. In addition, ABT737 treatment dephosphorylates (and hence likewise inhibits) p53, glycogen synthase kinase-3 and Akt"
2011,https://doi.org/10.1038/onc.2011.104,Protein,Small molecule mimetic,BH3,HA14-1,highly efficient in inducing autophagy including in U2OS and HeLa cells,"induced LC3 lipidation, p62 degradation and GFP-LC3 redistribution to autophagic dots in control and Bax/Bak/ double-knockout MEFs similarly"
2011,https://doi.org/10.1177/1947601911417177,Protein,small molecule,BH3,ABT-737,"Phases I and II: leukemia, lymphoma, myeloma, small cell lung cancer, cervical cancer, breast cancer","Binding to BCL-2 Members: Ki for BCL-2 = 1 nM
Ki for BCL-xL = 0.5 nM
Ki for BCL-w = 1 nM
Ki for MCL-1 = 550 nM"
2011,https://doi.org/10.1177/1947601911417177,Protein,small molecule,BH3,Apogossypol,Preclinical,". BCL-2 Family Inhibitor: Ki
 for BCL-2 = 35 nM
Ki
 for BCL-xL = 660 nM
Ki
 for MCL-1 = 25 nM"
2011,https://doi.org/10.1177/1947601911417177,Protein,small molecule,BH3,(–)Gossypol,"Phases I and II: chronic lymphocytic leukemia, non-Hodgkin lymphoma, glioblastoma, head and neck, prostate cancer, small cell lung cancer","bind BCL-2, BCL-xL, and MCL-1 although with affinities
that are much lower than of the BH3-only proteins to these
proteins, BCL-2 Family Inhibitor: Ki
 for BCL-2 = 320 nM
Ki
 for BCL-xL = 480 nM
Ki
 for MCL-1 = 180 nM"
2011,https://doi.org/10.1177/1947601911417177,Protein,small molecule,BH3,GX-15-070,"Phase I: leukemia, lymphoma, multiple myeloma, non–small cell lung cancer",". BCL-2 Family Inhibitor: Ki
 for BCL-2 = 220 nM
Ki
 for BCL-xL = 0.5 µM
Ki
 for MCL-1 = 0.5 µM"
2011,https://doi.org/10.1177/1947601911417177,Protein,small molecule,BH3,TW-37,"Phases I and II: chronic lymphocytic leukemia, non-Hodgkin lymphoma, glioblastoma, head and neck cancer, prostate cancer, small cell lung cancer",". BCL-2 Family Inhibitor: Ki
 for BCL-2 = 290 nM
Ki
 for MCL-1 = 260 nM"
2012,https://doi.org/10.1016/j.bmcl.2012.04.014,Carbohydrate,Glycomemitics,Heparan Sulphate,PI-88,"a highly sulfonated oligosaccharide that mimics heparan sulfate and has potent anti-angiogenic activity, currently in clinical trials","Inhibits heparanase activity and angiogenesis, showing potential as an anti-cancer and anti-metastatic agent."
2012,https://doi.org/10.1016/j.bmcl.2012.04.014,Carbohydrate,Glycomemitics,Heparan Sulphate,Small molecule fluoro-xylosides,"small molecules that mimic heparan sulfate and potently reduce tumor-associated angiogenesis by inhibiting HS biosynthesis in vitro, requiring cellular entry to be effective","Disrupts HS biosynthesis, leading to reduced tumor angiogenesis and potential anti-cancer applications."
2012,https://doi.org/10.1016/j.bmcl.2012.04.014,Carbohydrate,Glycomemitics,Heparan Sulphate,Polysulfonated small molecules,"these mimic heparin/heparan sulfate and act as inhibitors of angiogenesis, identified as promising in vitro tube formation assay inhibitors and can be easily synthesized","Prevents angiogenesis by inhibiting heparan sulfate interactions, making them potential therapeutic agents for cancer treatment."
2012,https://doi.org/10.1155/2012/740982,Carbohydrate,GD1α-mimetic peptide,GD1α (a ganglioside),GD1 α-mimetic peptides,"These peptides functionally mimic GD1α, which is an adhesion molecule involved in tumor metastasis.",GD1α-replica peptides suppress tumor metastasis.
2012,https://doi.org/10.1593/neo.111544,Carbohydrate,Carbohydrate-based galectin inhibitor,Galactoside-containing polysaccharide,Modified Citrus Pectin (MCP),"Inhibits galectin-3, blocking its antiapoptotic function and tumor cell clonogenic survival","Shown to inhibit experimental metastasis in various animal models, including melanoma and prostate carcinoma"
2012,https://doi.org/10.1593/neo.111544,Carbohydrate,Synthetic β-galactoside disaccharide/amino acid conjugate,Cancer-associated Thomsen-Friedenreich antigen (TF-Ag),Glycoamine Lactulose-L-leucine (Lac-L-Leu),"Binds and inhibits galectin-3, mimicking TF-Ag",Impedes metastasis-associated tumor cell adhesive interactions and inhibits the formation of early metastatic deposits in lungs and bones
2012,https://doi.org/10.1371/journal.pone.0035457,Carbohydrate,Carbohydrate mimetic peptide,GD2 ganglioside,Peptides mimicking GD2 ganglioside,"These peptides are designed to mimic the structure of GD2 ganglioside, which is a tumor-associated antigen.","They elicit immune responses, including cellular and humoral immunity, and can potentially be used in cancer immunotherapy"
2012,https://doi.org/10.1371/journal.pone.0035457,Carbohydrate,Carbohydrate mimetic peptide,GD3 ganglioside,Peptides mimicking GD3 ganglioside,"Similar to GD2 mimics, these peptides replicate the structure of GD3 ganglioside, facilitating recognition by specific antibodies.","They can induce anti-ganglioside immune responses, contributing to the development of therapeutic strategies against cancers expressing GD3"
2012,DOI: 10.2174/138955712803832753,Carbohydrate,Synthetic carbohydrate mimetic,GDP-fucose,GDP-hexanolamine,Inhibitors of fucosyltransferases,"Potential treatment for cancer and inflammatory diseases by inhibiting fucosylation processes involved in cell-cell recognition, cell adhesion, and signaling pathways"
2012,DOI: 10.2174/138955712803832753,Carbohydrate,Synthetic carbohydrate mimetic,Trisaccharide	,Azatrisaccharide containing a piperidine ring,Inhibitor of glycosyltransferases,Potential treatment for cancer and inflammatory diseases by inhibiting aberrant glycosylation processes
2012,DOI: 10.2174/138955712803832753,Carbohydrate,Synthetic carbohydrate mimetic,N-Ac-lactosamine,N-Ac-lactosamine mimetics,Inhibitor of glycosyltransferases,Potential treatment for cancer and inflammatory diseases by inhibiting aberrant glycosylation processes
2012,https://doi.org/10.1093/glycob/cwr140,Carbohydrate,Carbohydrate-Mimetic Peptides,Non-reducing terminal galactose structure.,9-mer Peptides,Recognized by monoclonal antibodies directed to lacto-tetraosylceramide and neolactotetraosylceramide. Bind to Ricinus lectin and inhibit Jack bean β-galactosidase activity toward neolactotetraosylceramide,Potential applications in cancer therapy and treatment of infectious diseases by mimicking carbohydrate antigens and modulating galactose-mediated cellular processes
2012,https://doi.org/10.1093/glycob/cwr140,Carbohydrate,Carbohydrate-Mimetic Peptides,Lewis Y antigen.,PWLY Peptide,Induces an immune response against the Lewis Y antigen.,"Can elicit an immune response in rabbits and mice, demonstrating its potential as a vaccine component"
2012,https://doi.org/10.1093/glycob/cwr140,Carbohydrate,Carbohydrate-Mimetic Peptides,Sialyl Lewis X (a carbohydrate ligand).,I-Peptide (IELLQAR),Inhibits the binding of sialyl Lewis X to E-selectin.,"Inhibits lung colonization of melanoma cells, potentially useful for cancer metastasis prevention. May also have applications in treating inflammatory conditions and modulating immune responses."
2012,https://doi.org/10.1158/1535-7163.MCT-13-0058,Protein,BH3 mimetic,BH3 proteins( BAD),ABT-737,Induces proapoptotic and anti-tumour effects,"Binds to BCL-2, BCL-XL, and BCL-W proteins and disrupt interaction with BECLIN 1 causing autophagy. Induce BX/BAK dependent apoptosis"
2012,https://doi.org/10.1158/1535-7163.MCT-13-0058,Protein,Inhibitor molecule,BH3 proteins,BIM-SAHB,"Restricts mitochondria ,activates caspases-3 and 7 , reactivates cell death in leukaemia and lymphoma cells which are resistant to ABT-737","Binds with BCL-XL, BCL-W, MCL-1 and A-1 while blocks the sequestration of BAX by BCL-XL and BAK by MCL-1 and instead triggers direct release of BAX/BAK dependent mitochondrial cytochrome C"
2012,https://doi.org/10.1158/1535-7163.MCT-13-0058,Protein,BAD-like BH3 mimetic,BH3 proteins(BAD),ABT-263(Navitoclax),Induces proapoptotic and anti-tumour effects (oral derivative of ABT-737),"Binds to BCL-2, BCL-XL, and BCL-W proteins and disrupt interaction with BECLIN 1 causing autophagy. Induce BX/BAK dependent apoptosis"
2012,https://doi.org/10.1158/1535-7163.MCT-13-0058,Protein,Inhibitor molecule,BH3 proteins,MIM 1,Inhibits MCL-1 and is hence used in malignant cells with MCL-1,Targets hydrophobic pockets of MCL-1 and induces BAX/BAK apoptosis in MCL-1 dependent but not BCL-XL dependent leukaemia cells
2012,https://doi.org/10.1158/1535-7163.MCT-13-0058,Protein,Activator molecule,BH3 proteins,BMP 7,Induces apoptosis by directly activation of BAX in BAK deficient cells,Selectively interacts with BAX triggering sites while not interacting with BH3 binding groove of BCL-2 proteins
2012,https://doi.org/10.1158/1535-7163.MCT-13-0058,Protein,Inhibitor molecule,BH3 proteins(inhibit BCL-2),ABT-199,Induces apoptosis of haematological tumour lines while sparing platelet cells( derivative of ABT-263),Specifically targets BCL-2 and not BCL-XL hence avoiding thrombocytopenia at the same time induce BX/BAK dependent apoptosis
2012,https://doi.org/10.1016/j.ddtec.2011.07.006,Protein,PEM scaffold,Polyphemusin II,POL3026,CXCR4 antagonist,harvests peripheral blood HSCs by disrupting the SDF-1/CXCR4 interaction
2012,https://doi.org/10.1016/j.ddtec.2011.07.006,Protein,PEM scaffold,Polyphemusin II,POL5551,CXCR4 antagonist,POL5551 as a CXCR4 antagonist in acute lymphoblastic leukemia
2012,https://doi.org/10.1016/j.ddtec.2011.07.006,Protein,PEM scaffold,Polyphemusin II,POL6326,CXCR4 antagonist,POL6326 (balixafortide) as a CXCR4 antagonist in clinical trials for breast cancer
2013,https://doi.org/10.1021/bc400246z,Protein,antibody mimetic (FPF),IgG,Anti-VEGF,inhibits angiogenesis,provides bivalent binding properties similar to IgG antibodies
2013,https://doi.org/10.1021/bc400246z,Protein,antibody mimetic (FPF),IgG,Anti-Her2,inhibits angiogenesis,provides bivalent binding properties similar to IgG antibodies
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,MEK2 (N-terminal region),Antp-MEK2,Inhibits ERK2 activation,Potential anti-cancer activity by inhibiting cell proliferation signaling
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,MEK2 (N-terminal region),Tat-MEK2,Inhibits ERK2 activation,Potential anti-cancer activity by inhibiting cell proliferation signaling
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,p14ARF (N-terminal),(D-Arg)9-ARF26-44,Promotes apoptosis,Potential anti-cancer activity by inducing programmed cell death
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,c-Myc (C-terminal helix 1),"Int-Hi-S6A, F8A",Inhibits proliferation and promotes apoptosis,Anti-cancer activity by inhibiting cell growth and inducing cell death
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,p53 (C-terminal region),RI-TAT p53C’,Promotes apoptosis,Activates p53 in cancer cells
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,Smac/Diablo (N-terminal),SmacDiablo Penetratin peptide,Promotes apoptosis,Chemotherapy induces apoptosis
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,Shepherdin,Penetratin- Shepherdin79–83,Selective apoptosis of acute myeloid leukaemia cells,Potential treatment for acute myeloid leukemia
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,ELK1 (DEF docking site),Tat-DEF-Elk1,Regulates cytonuclear trafficking of ELK1,Potential modulator of gene expression in various diseases
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,B-Raf (Dimer interface),Tat-DI2,Inhibits Raf dimerization and proliferation of NSCLC cell lines,Potential treatment for non-small cell lung cancer
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,S100C/A11 (N-terminal),TAT-MAK19,Promotes apoptosis,Potential anti-cancer activity by inducing programmed cell death
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,p21(WAF1/CIP1),Tat48–60-P10,Promotes apoptosis,Potential anti-cancer activity by inducing programmed cell death
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,Cyt c (77–101),Nup153-Cyt c,Potent Apoptogenic analogue of Cyt c77–101,Potential anti-cancer activity by inducing apoptosis
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,Mastoparan analogue,Mitoparan,Promotes apoptosis and mitochriotoxic,Potential anti-cancer activity by targeting mitochondria
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,Cytochrome c,Cyt c77–101,Promotes apoptosis,Potential anti-cancer activity by inducing programmed cell death
2013,https://doi.org/10.1002/biot.201200335,Protein,Bioportide,p14ARF (N-terminal),ARF (1–22),Promotes apoptosis in cancer cells,Potential anti-cancer activity by inducing programmed cell death
2013,https://doi.org/10.1073/pnas.1312473110,Protein,ligand of CH1,HIF-1α C-TAD,HBS1,reduces tumour volume,"disrupts the HIF-1α/p300-CH1 complex in vitro, down-regulates hypoxia-inducible gene expression, and reduces VEGF protein levels in hypoxic cells"
2013,https://doi.org/10.1016/j.bmc.2012.09.053,Protein,N-alkylated oligobenzamide,α-Helix,"4,4-dicarboxamide",targets protein-protein interactions,"Potential inhibitor of Bcl-xL/Bak interaction, which may induce apoptosis in cancer cells"
2013,https://doi.org/10.1016/j.bmc.2012.09.053,Protein,N-alkylated oligobenzamide,α-Helix,terephthalamide,targets protein-protein interactions,"Disrupts Bcl-xL/Bak complex formation, potentially inducing apoptosis in cancer cells"
2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3392204/,Protein,phosphoserine mimetics,14-3-3 binding motifs,"Oxirane ring opening by α,α-difluoromethylenephosphonate anion to furnish γ-hydroxy-α,α-difluoromethylenephosphonates",14-3-3 Protein Inhibitory Activity,"targets including the tumor suppressor p53, Raf family kinases, FOXO transcription factors, the proapoptotic protein BAD, and Cdc25 phosphatases through these recognition sequences. Upon binding, 14-3-3 acts as an adaptor, leading to changes in enzymatic activity or subcellular localization .These characteristics make the 14-3-3 family an interesting target for cancer therapeutics"
2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3392204/,Protein,phosphoserine mimetics,14-3-3 binding motifs,WW domains,14-3-3 Protein Inhibitory Activity,"targets including the tumor suppressor p53, Raf family kinases, FOXO transcription factors, the proapoptotic protein BAD, and Cdc25 phosphatases through these recognition sequences. Upon binding, 14-3-3 acts as an adaptor, leading to changes in enzymatic activity or subcellular localization .These characteristics make the 14-3-3 family an interesting target for cancer therapeutics"
2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3392204/,Protein,phosphoserine mimetics,14-3-3 binding motifs,Forkhead-associated (FHA) domains,14-3-3 Protein Inhibitory Activity,"targets including the tumor suppressor p53, Raf family kinases, FOXO transcription factors, the proapoptotic protein BAD, and Cdc25 phosphatases through these recognition sequences. Upon binding, 14-3-3 acts as an adaptor, leading to changes in enzymatic activity or subcellular localization .These characteristics make the 14-3-3 family an interesting target for cancer therapeutics"
2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3392204/,Protein,phosphoserine mimetics,14-3-3 binding motifs,WD40,14-3-3 Protein Inhibitory Activity,"targets including the tumor suppressor p53, Raf family kinases, FOXO transcription factors, the proapoptotic protein BAD, and Cdc25 phosphatases through these recognition sequences. Upon binding, 14-3-3 acts as an adaptor, leading to changes in enzymatic activity or subcellular localization .These characteristics make the 14-3-3 family an interesting target for cancer therapeutics"
2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3392204/,Protein,phosphoserine mimetics,14-3-3 binding motifs,LRR domains of F-box protein,14-3-3 Protein Inhibitory Activity,"targets including the tumor suppressor p53, Raf family kinases, FOXO transcription factors, the proapoptotic protein BAD, and Cdc25 phosphatases through these recognition sequences. Upon binding, 14-3-3 acts as an adaptor, leading to changes in enzymatic activity or subcellular localization .These characteristics make the 14-3-3 family an interesting target for cancer therapeutics"
2014,https://doi.org/10.3389/fimmu.2014.00308,Carbohydrate,"natural peptides derived from proteins, such as those from the Mucin 1 cell surface receptor (MUC1), which are considered mimics of carbohydrate antigens like the Gal-epitope",Gal-epitope,carbohydrate-mimetic peptides (CMPs),"inducing immune responses to glycan antigens expressed on cancer cells and pathogens, mediating cognate B and T-cell interactions, and potentially functioning as probes to understand the structural basis for the dual recognition properties of antibodies, lectins, and T cells","inducing immune responses that can inhibit tumor growth in vivo, generating antibodies capable of neutralizing pathogens such as HIV-1, and mediating cytotoxic activity against tumor cells."
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Carbohydrate,Iminosugar,mannose,swainsonine,"Modulates the action of enzymes involved in carbohydrate synthesis and metabolism, specifically as an inhibitor of α-mannosidase.","1. Potential anti-cancer agent: Inhibits tumor cell growth, reduces metastasis, and enhances cellular immune responses"
2014,https://doi.org/10.4161/hv.34300,Carbohydrate,Carbohydrate Mimetic Peptide (CMP),Lewis Y (LeY) carbohydrate antigens,P10s,Induces anti-tumor antibody response and is hypothesized to interfere with cellular pathways involved in tumor cell survival.,"The P10s vaccine resulted in responses to P10s, with serum and plasma antibodies that were reactive with and cytotoxic to human breast cancer cells in vitro, including a Trastuzumab-resistant cell line. It also suggested sensitization of tumor cells for more efficient killing upon administration of chemotherapy (docetaxel)"
2014,https://doi.org/10.1517/17425247.2014.902048,Carbohydrate,Glycopolymers,"Naturally occurring polysaccharides (e.g., glycosaminoglycans, chondroitin sulfate)",Glycopolymers,"Anticoagulant, anti-inflammatory, anti-tumor properties","Potential applications in treating cardiovascular diseases, inflammatory conditions, and cancer by mimicking biological activities of natural polysaccharides. May also be used as drug delivery systems and protein stabilizers in pharmaceutical formulations."
2014,https://doi.org/10.1021/cr400698c,Protein,peptidomimetic,MLL1,MM-101,treatment of certain forms of leukemia,Potential treatment for certain leukemias by binding to WD40 propeller of MLL1
2014,https://doi.org/10.1021/cr400698c,Protein,peptidomimetic,MLL1,MM-102,treatment of certain forms of leukemia,inhibits cell growth and induces apoptosis in leukemia cells bearing MLL1 fusion proteins
2014,https://doi.org/10.1073/pnas.1402393111,Protein,a helix mimetic,HIF1α,Oxopiperazine helix mimetics (OHMs),modulate the target interaction in cell culture and suppress hypoxia-inducible gene expression,Potential anti-cancer activity by suppressing hypoxia-inducible gene expression
2014,https://doi.org/10.1039/C3BM60293A,Protein,VEGF mimetic peptide,VEGF,QK peptide,retains its bioactivity when tethered and effectively promotes endothelial cell attachment and proliferation,"It enhances the growth of human umbilical vein endothelial cells (HUVECs) when used in soluble form or when conjugated to ELP gels, maintaining a constant concentration for prolonged signaling, potentially promoting angiogenesis in ischemic or wound healing conditions"
2014,https://doi.org/10.1158/1541-7786.MCR-13-0611,Protein,peptidomimetic,α-helix,D2,inhibits androgen-induced multiplication of prostate cancer cells,Inhibits prostate cancer cell growth by blocking AR nuclear translocation
2014,https://doi.org/10.1158/1541-7786.MCR-13-0611,Protein,peptidomimetic,α-helix,anthracene scaffold,induce cell apoptosis,Induces cancer cell apoptosis by inhibiting Bcl-2 family interactions
2015,https://doi.org/10.1002/ejoc.201403186,Carbohydrate,C-Glycosides,D-talose,Aryl C-glycosides,"Enhanced stability against enzymatic degradation
Improved oral bioavailability","Potential anticancer, antioxidant, antiviral, and hypoglycemic effects; May act as enzyme inhibitors for various diseases"
2015,https://doi.org/10.1002/ejoc.201403186,Carbohydrate,C-Glycosides,D-talose.,"Bicyclic 1,2-oxazines","Enhanced stability against enzymatic degradation
Improved oral bioavailability","Potential anticancer, antioxidant, antiviral, and hypoglycemic effects; May act as enzyme inhibitors for various diseases"
2015,https://doi.org/10.1016/j.copbio.2014.11.016,Carbohydrate,Synthetic Receptor,Beta-mannosides,Pyrrolic Tripodal Receptor,Specifically recognizes beta-mannosides.,"Potential for targeted drug delivery, biosensing, and diagnostic applications related to mannoside-mediated processes. May be used to target cancer cells that overexpress mannose receptors or to modulate immune responses."
2015,https://doi.org/10.1021/acs.orglett.5b02223,Carbohydrate,S-linked hexasaccharide,Hexasaccharide subunit of landomycin A,S-linked hexasaccharide of landomycin A,Designed to be resistant to acid-mediated or enzymatic hydrolysis,"The mimetic is associated with antitumor activity against cancer cell lines, as landomycin A possesses a broad spectrum of antitumor activity"
2015,https://doi.org/10.1002/chem.201500831,Carbohydrate,Glycomimetic drug,Sialyl Lewis x (sLe^x),GMI-1271,Specific E-selectin inhibitor,Evaluated in clinical trials in combination with chemotherapy for treating acute myeloid leukemia
2015,https://doi.org/10.1002/chem.201500831,Carbohydrate,Glycan-based therapeutic,Various carbohydrate structures (often mimicking natural glycan epitopes),Multivalent Glycoconjugates,Designed to enhance affinity for protein targets by mimicking the multivalent nature of interactions between lectins and their natural carbohydrate ligands,"Developed to improve the overall affinity of glycan therapeutics, with examples including glycodendrimers and glycoclusters."
2015,https://doi.org/10.1002/chem.201500831,Carbohydrate,Glycolipid mimic,a-GalCer,Synthetic C-glycoside analogues of a-GalCer glycolipid,Stimulates human NKT cells,activity in malaria and melanoma models
2015,https://doi.org/10.1021/jm501440q,Protein,inhibitor,BH3 protein,JY-1-106,indues apoptosis,Potential anti-cancer activity by inducing apoptosis through disruption of Bcl-xL and Mcl-1 interactions with Bak
2015,https://doi.org/10.1038/cdd.2015.50,Protein,inhibitor,BH3 protein,ABT-199/venetoclax,treatment of CLL,Treatment of chronic lymphocytic leukemia (CLL) by selectively inhibiting BCL-2
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,N-acetylglucosamine,GlcNAz (N-acetylglucosamine azide),Metabolically incorporated into cells for labeling and detection.,Used in glycobiology research to study glycosylation processes in cancer and immune responses
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,N-acetylmannosamine,ManNAz (N-acetylmannosamine azide),Metabolically incorporated into cells.,Used in glycobiology research to study glycosylation processes in cancer and immune responses
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,N-acetylgalactosamine,GalNAz (N-acetylgalactosamine azide),Metabolically incorporated into cells.,Facilitates the labeling of glycoproteins and tracking of glycosylation
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,N-acetylmannosamine,ManNAl (N-acetylmannosamine alkyne),Used for metabolic incorporation and subsequent 'click' reactions.,Allows for the study of cell surface glycans and their role in diseases
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,N-acetylmannosamine,ManNCyoc (N-acetylmannosamine cyano),Metabolically incorporated into cells.,"Used in studies of glycosylation and cellular interactions, impacting diseases processes"
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,N-acetylmannosamine,ManNMCp (N-acetylmannosamine methylcyclopropene),Metabolically incorporated into cells.,Facilitates the study of glycosylation patterns
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,N-acetylmannosamine,ManNCp (N-acetylmannosamine cyclopropene),Used for metabolic incorporation.,Allows for the tracking of modified glycans in the context of cancer and other diseases
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,Sialic acid,BCNSia (a specific sialic acid mimic),Used in studies of glycosylation.,Helps in understanding the role of sialylation in cellular processes related to cancer and immune responses
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Nucleotide sugar,Xylose,UDP-4-XylAz (uridine diphosphate 4-xylose azide),Used for metabolic incorporation into glycan structures.,Facilitates the study of glycan biosynthesis
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Carbohydrate,Non-natural sugar,Glucosamine,GlcN-n-Iso ,Used for metabolic incorporation into cellular processes.,"it can be utilized in studies related to glycosylation and may serve as a tool for investigating glycan interactions and modifications in biological systems, particularly within cancer cells."
2016,https://doi.org/10.3389/fbioe.2015.00211,Protein,Stimuli-responsive peptide,β-hairpin,Max3,"potential cancer drug, antimicrobials and wound healing","folding triggered by UV light , changes in pH, electronegative cancer cell membranes"
2016,https://pubmed.ncbi.nlm.nih.gov/27267699/,Protein,small molecule ligand,Nutlins,Mdm2,targets protein-protein interactions,Potential cancer treatment by inhibiting p53-Mdm2 interaction
2016,http://dx.doi.org/10.1016/j.cell.2016.03.045,Protein,styryl- benzyl sulfone,RAS-mimetic,rigosertib,"disrupts RAF activation, and inhibits the RAS-RAF-MEK pathway",Potential cancer treatment by disrupting RAF activation and inhibiting RAS-RAF-MEK pathway
2016,https://pubmed.ncbi.nlm.nih.gov/27915971/,Protein,bivalent mimetic,SMAC mimetic,TL32711 (birinapant),Promotes apoptosis,suppresses cIAP1 and increases apoptosis in peripheral blood mononuclear cells and tumor tissue in some patients.
2016,https://pubmed.ncbi.nlm.nih.gov/27915971/,Protein,monovalent mimetic,SMAC mimetic,LCL161,treatment of solid tumours,Potential treatment for solid tumors by inducing cIAP1 degradation and caspase-3 cleavage
2016,https://pubmed.ncbi.nlm.nih.gov/27915971/,Protein,monovalent mimetic,SMAC mimetic,DEBIO1143/AT-406,treatment of solid tumours,Potential treatment for solid tumors by degrading cIAP1 and increasing cytokine levels
2016,https://pubmed.ncbi.nlm.nih.gov/27194727/,Protein,inhibitor,smac mimetic,birinapant,induces necroptosis and treat acute myeloid leukemia,Caspase inhibitors might sensitize cells to SMAC mimetics by inhibiting caspase-8 and promoting necroptotic cell death
2017,https://doi.org/10.1002/chem.201703129,Carbohydrate,"five-membered heterocycles containing one double bond, 
one oxygen and one phosphorus atom",Furanose carbohydrate,"Oxaphospholenes 
3-4",serve as precursors for furanose carbohydrate mimics,Potential applications in developing anti-cancer and anti-diabetic drugs by mimicking furanose-based enzyme substrates or inhibitors
2017,https://doi.org/10.1039/C7OB00386B,Carbohydrate,Glycolipid mimetics,Monosaccharides,Penaresidins,"Actomyosin ATPase activator, potential biomarker","Cytotoxicity against cancer cell lines, potential biomarker for cervical cancer, antimicrobial activity against Mycobacterium tuberculosis"
2017,https://doi.org/10.1039/C7OB00386B,Carbohydrate,Glycolipid mimetics,Monosaccharides,Penazetidine A,Protein kinase C inhibitor,"Cytotoxicity against human and murine cell lines (A549, HT-29, B16/F10, P388), potential anticancer activity"
2017,https://doi.org/10.1039/C7OB00386B,Carbohydrate,Cyclobutane derivatives,Monosaccharides,Highly-functionalized cyclobutanes,Explored for their potential in medicinal chemistry.,"May improve drug properties such as metabolic stability and conformational restriction, with potential applications in various diseases including cancer, viral infections, and neurodegenerative disorders"
2017,https://doi.org/10.1016/j.carres.2017.03.012,Carbohydrate,Carbasugars,Various sugars,Carbasugars,"Enhanced biostability and inhibition of specific enzymes (e.g., Ser/Thr protein kinase, SGLT2, heparanase)","Potential treatments for cancer, diabetes, and inflammatory diseases due to their increased chemical stability and specific enzyme inhibition"
2017,https://doi.org/10.1021/acs.orglett.7b00945,Carbohydrate,Cyclitol analogue,Rhamnose,2a (n-Pr cyclitol diacetate),Designed to improve bioavailability and inhibit RSK1/2 activity.,"Potential anticancer agent due to improved RSK inhibition, which may suppress tumor growth and metastasis"
2017,https://doi.org/10.1021/acs.orglett.7b00945,Carbohydrate,Cyclitol analogue,Rhamnose,2b (C-3/C-4 bis-carbamate),Aimed at enhancing stability and RSK inhibition.,"Promising anticancer activity through RSK inhibition, potentially effective in treating various types of cancer"
2017,https://doi.org/10.1021/acs.orglett.7b00945,Carbohydrate,Carbasugar analogue,"Sugars in general, particularly rhamnose derivatives.",5a-carbasugar analogues,To explore structure-activity relationships and improve RSK1/2 inhibition.,Part of ongoing research to develop more effective anticancer treatments targeting RSK-mediated pathways
